timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred,benign_prob,attack_prob,prediction
2025-07-30T15:55:46.396886,23517,85747,20.0,8717552,4388,9294.0,17697674553.0,1211692,47.0,1079510.0,90.0,4388,67,1600294,1903,128.0,15925,0.07175678,0.9282432,1
2025-07-30T15:55:52.717038,26281,89856,7.0,8424802,3857,4665.0,9024846825.0,431694,23.0,540728.0,47.0,3857,64,1641537,1625,86.0,16198,0.005638242,0.99436176,1
2025-07-30T15:55:58.895513,21476,88812,10.0,9196371,4369,4200.0,9018489288.0,433085,24.0,537477.0,38.0,4369,67,632473,1673,84.0,25728,0.0016470551,0.99835294,1
2025-07-30T15:56:04.265517,22777,88136,17.0,3974890,3650,4016.0,8686201013.0,461298,22.0,529309.0,52.0,3650,67,1651200,1723,94.0,26410,0.0037097335,0.99629027,1
2025-07-30T15:56:10.516577,23396,90700,11.0,4319743,3743,4636.0,9147872329.0,1105669,23.0,531480.0,47.0,3743,64,1632923,1691,95.0,15652,0.0040658712,0.9959341,1
2025-07-30T15:56:16.657965,20792,101583,18.0,4795392,4156,9366.0,17764384064.0,431115,46.0,1021526.0,82.0,4156,72,620280,1648,124.0,24399,0.0445711,0.9554289,1
2025-07-30T15:56:21.841282,19729,93172,11.0,4176179,3782,4687.0,9138336371.0,448847,24.0,536147.0,49.0,3782,70,633240,1637,92.0,16139,0.037297547,0.96270245,1
2025-07-30T15:56:27.403008,19823,85527,18.0,4006658,4145,4648.0,8941950304.0,440291,23.0,532077.0,50.0,4145,73,631660,1690,20.0,23647,0.030928075,0.9690719,1
2025-07-30T15:56:33.781422,20115,109696,6.0,3945186,3789,4675.0,9298306414.0,1180695,24.0,533946.0,38.0,3789,61,629483,1596,90.0,25198,0.003171444,0.99682856,1
2025-07-30T15:56:39.231728,23109,90764,10.0,8472114,4022,4449.0,9155126657.0,544632,23.0,539762.0,52.0,4022,67,1551718,1646,86.0,24684,0.0017627478,0.99823725,1
2025-07-30T15:56:44.903957,18491,102242,9.0,4006366,4339,3812.0,9284332996.0,1140980,24.0,530466.0,44.0,4339,63,641786,1809,91.0,16747,0.0013529658,0.99864703,1
2025-07-30T15:56:50.816186,19682,87801,9.0,9074723,4533,4639.0,9030143439.0,1104697,23.0,542778.0,39.0,4533,63,631978,1720,89.0,15681,0.015795708,0.9842043,1
2025-07-30T15:56:56.735108,20122,89592,19.0,8974304,4302,9353.0,18180006293.0,1189129,46.0,1091944.0,86.0,4302,64,639551,1653,114.0,25349,0.0025937557,0.99740624,1
2025-07-30T15:57:02.040758,19828,93066,9.0,8216932,3865,4644.0,8763839690.0,502287,22.0,524133.0,52.0,3865,63,632251,1660,108.0,17548,0.0022339225,0.9977661,1
2025-07-30T15:57:07.908136,21168,101834,15.0,4212849,4046,4659.0,9065045449.0,450870,23.0,535764.0,48.0,4046,64,1530622,1699,80.0,15671,0.0040795207,0.9959205,1
2025-07-30T15:57:13.464202,23114,91714,11.0,8485123,4956,4757.0,8812676107.0,439076,24.0,496405.0,44.0,4956,67,1621582,1682,22.0,15610,0.0039569736,0.996043,1
2025-07-30T15:57:19.841981,25252,90549,13.0,4075928,3716,4679.0,9192548235.0,431152,24.0,533226.0,52.0,3716,67,1623947,1785,83.0,15767,0.002381444,0.99761856,1
2025-07-30T15:57:25.587270,20940,90016,11.0,8514755,4006,4661.0,9016041986.0,439645,23.0,532610.0,44.0,4006,70,636916,1703,92.0,15697,0.020366967,0.97963303,1
2025-07-30T15:57:31.537557,24746,87444,21.0,3943535,4136,8278.0,17830075073.0,1191617,47.0,1075216.0,97.0,4136,62,1633260,1710,188.0,17948,0.015116751,0.98488325,1
2025-07-30T15:57:36.989670,21070,89961,7.0,10050016,4031,4690.0,9373449807.0,438555,25.0,533141.0,34.0,4031,65,655677,1630,89.0,15873,0.029121041,0.97087896,1
2025-07-30T15:57:42.913174,19954,90605,6.0,8641827,3844,4654.0,9434960289.0,435648,23.0,536267.0,39.0,3844,65,632059,1645,24.0,16311,0.0020585656,0.99794143,1
2025-07-30T15:57:49.522583,25959,97380,13.0,8694085,3794,4228.0,9012240293.0,431753,22.0,533924.0,55.0,3794,62,1722170,1573,102.0,17314,0.001960814,0.9980392,1
2025-07-30T15:57:55.939896,21046,101425,8.0,4117332,4399,4354.0,8900915772.0,435746,23.0,535427.0,36.0,4399,68,641303,1651,26.0,15453,0.0023887157,0.9976113,1
2025-07-30T15:58:01.845313,24285,92560,22.0,8823626,3977,9001.0,18148232924.0,546394,45.0,1055554.0,96.0,3977,67,1653690,1594,137.0,15863,0.045514166,0.95448583,1
2025-07-30T15:58:07.825115,20205,88892,8.0,8755103,4560,4657.0,9053086188.0,436827,22.0,533777.0,52.0,4560,66,626452,1897,96.0,25233,0.004615009,0.995385,1
2025-07-30T15:58:13.786635,21791,88835,9.0,3901507,3632,4762.0,8415716606.0,1099303,24.0,476277.0,37.0,3632,65,1600319,1816,88.0,25968,0.0025167465,0.99748325,1
2025-07-30T15:58:19.449915,21169,93208,11.0,3970440,3945,4666.0,9379325504.0,1141141,23.0,536691.0,38.0,3947,66,640888,1657,102.0,15741,0.007725954,0.99227405,1
2025-07-30T15:58:25.157773,20605,89068,8.0,4248214,3772,4657.0,9596852319.0,1249408,22.0,535225.0,48.0,3772,60,629140,1698,106.0,24363,0.05730021,0.9426998,1
2025-07-30T15:58:31.301733,20967,91275,26.0,7614563,3753,9359.0,18159664391.0,428626,46.0,1061008.0,94.0,3753,65,644187,1831,116.0,15872,0.042981923,0.9570181,1
2025-07-30T15:58:39.099313,20491,97416,11.0,8993360,3964,4663.0,8934660257.0,431680,22.0,529183.0,49.0,3964,65,630813,1699,108.0,25652,0.005916357,0.99408364,1
2025-07-30T15:58:44.529973,20172,101705,11.0,8594016,4176,4662.0,9144039714.0,432135,23.0,534715.0,52.0,4176,68,631393,1719,26.0,25985,0.001420021,0.99858,1
2025-07-30T15:58:50.252009,20503,99940,13.0,4245061,3831,4692.0,9127573592.0,447212,23.0,544125.0,47.0,3831,70,633347,1948,106.0,16150,0.0030775666,0.99692243,1
2025-07-30T15:58:56.158405,23432,97278,19.0,4086069,3841,8284.0,17688611521.0,1184453,46.0,1065184.0,76.0,3841,68,1567165,1562,147.0,15617,0.08626926,0.91373074,1
2025-07-30T15:59:01.841573,20041,94497,10.0,4201117,3695,4644.0,8956199968.0,435525,21.0,525783.0,54.0,3695,65,642660,1609,117.0,24974,0.032401323,0.9675987,1
2025-07-30T15:59:06.960439,23139,87440,13.0,4053762,4211,4712.0,9276137693.0,1115000,24.0,537015.0,51.0,4211,62,1494485,1736,107.0,15444,0.010444939,0.98955506,1
2025-07-30T15:59:12.080520,24698,105205,8.0,4171315,5139,4755.0,9172335957.0,431625,23.0,495518.0,42.0,5139,63,1468936,1783,100.0,25423,0.012897193,0.9871028,1
2025-07-30T15:59:17.215259,17110,81164,11.0,3834199,3096,4699.0,5282559478.0,435238,25.0,138001.0,58.0,3096,64,631624,1522,24.0,15721,0.016604006,0.983396,1
2025-07-30T15:59:22.365380,17771,76300,12.0,4060303,3282,4698.0,3818476518.0,433039,25.0,72.0,49.0,3282,68,635229,1569,90.0,18406,0.3104114,0.6895886,1
2025-07-30T15:59:27.491468,12833,80727,15.0,3892079,3285,4717.0,3814675122.0,434400,26.0,77.0,50.0,3285,66,817327,1537,89.0,15622,0.27574062,0.7242594,1
2025-07-30T15:59:32.654223,17091,81254,10.0,4058114,3217,4693.0,3787747029.0,436677,26.0,67.0,53.0,3217,65,626998,1520,90.0,15964,0.24574178,0.7542582,1
2025-07-30T15:59:37.807982,17857,79682,11.0,3901820,3073,4698.0,3662639199.0,425976,26.0,76.0,50.0,3073,68,645367,1505,110.0,15872,0.58993495,0.41006503,0
2025-07-30T15:59:42.954860,17490,75609,9.0,3936452,3199,4697.0,3853837029.0,440712,26.0,59.0,47.0,3199,68,628702,1544,98.0,15302,0.6119597,0.38804033,0
2025-07-30T15:59:48.091246,16510,82016,9.0,3919197,3442,4683.0,3780679567.0,436311,26.0,64.0,48.0,3442,71,632053,1631,19.0,15635,0.58627176,0.41372824,0
2025-07-30T15:59:53.221998,20356,84754,12.0,3833214,3257,4726.0,3764722630.0,435038,25.0,78.0,48.0,3257,63,670810,1630,90.0,15270,0.7282418,0.27175817,0
2025-07-30T15:59:58.323137,17529,85320,9.0,3918623,3243,4728.0,3772555080.0,431726,26.0,62.0,47.0,3243,63,630517,1630,92.0,15589,0.8855362,0.11446383,0
2025-07-30T16:00:03.444222,18915,81604,11.0,3827691,2971,4382.0,3557937455.0,425863,26.0,83.0,48.0,2971,66,641512,1565,119.0,15811,0.8040725,0.1959275,0
2025-07-30T16:00:08.578184,17623,101520,10.0,4117992,3230,4024.0,3592759106.0,429205,25.0,59.0,49.0,3230,67,644251,1618,88.0,15639,0.7311579,0.26884213,0
2025-07-30T16:00:13.698096,17054,80486,9.0,3821340,3078,4666.0,3864070814.0,436164,26.0,63.0,50.0,3078,69,629863,1477,20.0,16513,0.5543036,0.4456964,0
2025-07-30T16:00:18.874313,17462,99778,10.0,3670620,3272,4682.0,3747762617.0,439060,26.0,69.0,47.0,3272,65,636517,1615,84.0,15327,0.56355387,0.43644613,0
2025-07-30T16:00:24.049417,18929,80684,9.0,3775025,3136,4696.0,3702407685.0,436907,26.0,55.0,46.0,3136,63,634047,1569,18.0,15590,0.7861999,0.2138001,0
2025-07-30T16:00:29.174157,18041,78297,9.0,4046859,3210,4699.0,3844866268.0,439518,26.0,65.0,48.0,3210,66,627126,1637,32.0,15589,0.79531765,0.20468237,0
2025-07-30T16:00:34.301593,17976,78340,13.0,3857660,3122,4709.0,3697242204.0,437654,26.0,77.0,50.0,3122,67,656609,1529,18.0,16124,0.67938554,0.32061446,0
2025-07-30T16:00:39.435400,16779,74799,11.0,3740987,5876,4687.0,4216113002.0,433453,26.0,65.0,47.0,5876,70,630138,1728,20.0,15407,0.70066327,0.29933673,0
2025-07-30T16:00:44.561667,18405,83089,8.0,3877948,3291,4705.0,3740429236.0,435943,26.0,68.0,48.0,3291,69,640055,1588,106.0,15605,0.8666918,0.1333082,0
2025-07-30T16:00:49.732636,17411,88401,14.0,3735227,3094,4681.0,3776951266.0,429624,25.0,63.0,50.0,3094,63,632162,1457,100.0,16149,0.6631503,0.3368497,0
2025-07-30T16:00:54.890443,18003,82013,8.0,3765737,3128,4720.0,3823848583.0,439093,26.0,68.0,47.0,3128,62,631838,1502,80.0,15538,0.69075465,0.30924538,0
2025-07-30T16:01:00.038306,17282,78835,10.0,3835703,3085,4698.0,3827273807.0,432565,26.0,67.0,48.0,3085,65,635208,1516,116.0,15300,0.74497175,0.25502822,0
2025-07-30T16:01:05.137984,18912,85349,18.0,3859013,3462,9413.0,7432505053.0,435189,52.0,125.0,95.0,3462,64,630647,1568,122.0,16060,0.71403426,0.28596574,0
2025-07-30T16:01:10.248983,17123,84005,9.0,3793593,3285,4762.0,3801523520.0,441602,25.0,66.0,47.0,3285,63,638343,1659,84.0,15606,0.84737736,0.15262263,0
2025-07-30T16:01:15.391892,17493,83301,9.0,3729285,3033,4462.0,3760345986.0,430372,26.0,60.0,47.0,3033,69,640228,1645,78.0,17306,0.6669483,0.3330517,0
