timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,syscalls_sys_exit_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred
2025-07-30T15:55:40.481827,23517,85747,60955752,8717552,4388,23831582,23831582,23945639183975,1211692,140127,437879179,272716,4388,67,1600294,1903,463338,15925
2025-07-30T15:55:46.396886,26281,89856,60955759,8424802,3857,23836247,23836247,23954664030800,431694,140150,438419907,272763,3857,64,1641537,1625,463424,16198
2025-07-30T15:55:52.717038,21476,88812,60955769,9196371,4369,23840447,23840447,23963682520088,433085,140174,438957384,272801,4369,67,632473,1673,463508,25728
2025-07-30T15:55:58.895513,22777,88136,60955786,3974890,3650,23844463,23844463,23972368721101,461298,140196,439486693,272853,3650,67,1651200,1723,463602,26410
2025-07-30T15:56:04.265517,23396,90700,60955797,4319743,3743,23849099,23849099,23981516593430,1105669,140219,440018173,272900,3743,64,1632923,1691,463697,15652
2025-07-30T15:56:10.516577,20792,101583,60955815,4795392,4156,23858465,23858465,23999280977494,431115,140265,441039699,272982,4156,72,620280,1648,463821,24399
2025-07-30T15:56:16.657965,19729,93172,60955826,4176179,3782,23863152,23863152,24008419313865,448847,140289,441575846,273031,3782,70,633240,1637,463913,16139
2025-07-30T15:56:21.841282,19823,85527,60955844,4006658,4145,23867800,23867800,24017361264169,440291,140312,442107923,273081,4145,73,631660,1690,463933,23647
2025-07-30T15:56:27.403008,20115,109696,60955850,3945186,3789,23872475,23872475,24026659570583,1180695,140336,442641869,273119,3789,61,629483,1596,464023,25198
2025-07-30T15:56:33.781422,23109,90764,60955860,8472114,4022,23876924,23876924,24035814697240,544632,140359,443181631,273171,4022,67,1551718,1646,464109,24684
2025-07-30T15:56:39.231728,18491,102242,60955869,4006366,4339,23880736,23880737,24045099030236,1140980,140383,443712097,273215,4339,63,641786,1809,464200,16747
2025-07-30T15:56:44.903957,19682,87801,60955878,9074723,4533,23885375,23885375,24054129173675,1104697,140406,444254875,273254,4533,63,631978,1720,464289,15681
2025-07-30T15:56:50.816186,20122,89592,60955897,8974304,4302,23894728,23894728,24072309179968,1189129,140452,445346819,273340,4302,64,639551,1653,464403,25349
2025-07-30T15:56:56.735108,19828,93066,60955906,8216932,3865,23899372,23899372,24081073019658,502287,140474,445870952,273392,3865,63,632251,1660,464511,17548
2025-07-30T15:57:02.040758,21168,101834,60955921,4212849,4046,23904031,23904031,24090138065107,450870,140497,446406716,273440,4046,64,1530622,1699,464591,15671
2025-07-30T15:57:07.908136,23114,91714,60955932,8485123,4956,23908788,23908788,24098950741214,439076,140521,446903121,273484,4956,67,1621582,1682,464613,15610
2025-07-30T15:57:13.464202,25252,90549,60955945,4075928,3716,23913467,23913467,24108143289449,431152,140545,447436347,273536,3716,67,1623947,1785,464696,15767
2025-07-30T15:57:19.841981,20940,90016,60955956,8514755,4006,23918128,23918128,24117159331435,439645,140568,447968957,273580,4006,70,636916,1703,464788,15697
2025-07-30T15:57:25.587270,24746,87444,60955977,3943535,4136,23926406,23926406,24134989406508,1191617,140615,449044173,273677,4136,62,1633260,1710,464976,17948
2025-07-30T15:57:31.537557,21070,89961,60955984,10050016,4031,23931096,23931096,24144362856315,438555,140640,449577314,273711,4031,65,655677,1630,465065,15873
2025-07-30T15:57:36.989670,19954,90605,60955990,8641827,3844,23935750,23935750,24153797816604,435648,140663,450113581,273750,3844,65,632059,1645,465089,16311
2025-07-30T15:57:42.913174,25959,97380,60956003,8694085,3794,23939978,23939978,24162810056897,431753,140685,450647505,273805,3794,62,1722170,1573,465191,17314
2025-07-30T15:57:49.522583,21046,101425,60956011,4117332,4399,23944332,23944333,24171710972669,435746,140708,451182932,273841,4399,68,641303,1651,465217,15453
2025-07-30T15:57:55.939896,24285,92560,60956033,8823626,3977,23953333,23953333,24189859205593,546394,140753,452238486,273937,3977,67,1653690,1594,465354,15863
2025-07-30T15:58:01.845313,20205,88892,60956041,8755103,4560,23957990,23957990,24198912291781,436827,140775,452772263,273989,4560,66,626452,1897,465450,25233
2025-07-30T15:58:07.825115,21791,88835,60956050,3901507,3632,23962752,23962752,24207328008387,1099303,140799,453248540,274026,3632,65,1600319,1816,465538,25968
2025-07-30T15:58:13.786635,21169,93208,60956061,3970440,3945,23967418,23967418,24216707333891,1141141,140822,453785231,274064,3947,66,640888,1657,465640,15741
2025-07-30T15:58:19.449915,20605,89068,60956069,4248214,3772,23972075,23972075,24226304186210,1249408,140844,454320456,274112,3772,60,629140,1698,465746,24363
2025-07-30T15:58:25.157773,20967,91275,60956095,7614563,3753,23981434,23981434,24244463850601,428626,140890,455381464,274206,3753,65,644187,1831,465862,15872
2025-07-30T15:58:31.301733,20491,97416,60956106,8993360,3964,23986097,23986097,24253398510858,431680,140912,455910647,274255,3964,65,630813,1699,465970,25652
2025-07-30T15:58:39.099313,20172,101705,60956117,8594016,4176,23990759,23990759,24262542550572,432135,140935,456445362,274307,4176,68,631393,1719,465996,25985
2025-07-30T15:58:44.529973,20503,99940,60956130,4245061,3831,23995451,23995451,24271670124164,447212,140958,456989487,274354,3831,70,633347,1948,466102,16150
2025-07-30T15:58:50.252009,23432,97278,60956149,4086069,3841,24003735,24003735,24289358735685,1184453,141004,458054671,274430,3841,68,1567165,1562,466249,15617
2025-07-30T15:58:56.158405,20041,94497,60956159,4201117,3695,24008379,24008379,24298314935653,435525,141025,458580454,274484,3695,65,642660,1609,466366,24974
2025-07-30T15:59:01.841573,23139,87440,60956172,4053762,4211,24013091,24013091,24307591073346,1115000,141049,459117469,274535,4211,62,1494485,1736,466473,15444
2025-07-30T15:59:06.960439,24698,105205,60956180,4171315,5139,24017846,24017846,24316763409303,431625,141072,459612987,274577,5139,63,1468936,1783,466573,25423
2025-07-30T15:59:12.080520,17110,81164,60956191,3834199,3096,24022545,24022545,24322045968781,435238,141097,459750988,274635,3096,64,631624,1522,466597,15721
2025-07-30T15:59:17.215259,17771,76300,60956203,4060303,3282,24027243,24027243,24325864445299,433039,141122,459751060,274684,3282,68,635229,1569,466687,18406
2025-07-30T15:59:22.365380,12833,80727,60956218,3892079,3285,24031960,24031960,24329679120421,434400,141148,459751137,274734,3285,66,817327,1537,466776,15622
2025-07-30T15:59:27.491468,17091,81254,60956228,4058114,3217,24036653,24036653,24333466867450,436677,141174,459751204,274787,3217,65,626998,1520,466866,15964
2025-07-30T15:59:32.654223,17857,79682,60956239,3901820,3073,24041351,24041351,24337129506649,425976,141200,459751280,274837,3073,68,645367,1505,466976,15872
2025-07-30T15:59:37.807982,17490,75609,60956248,3936452,3199,24046048,24046048,24340983343678,440712,141226,459751339,274884,3199,68,628702,1544,467074,15302
2025-07-30T15:59:42.954860,16510,82016,60956257,3919197,3442,24050731,24050731,24344764023245,436311,141252,459751403,274932,3442,71,632053,1631,467093,15635
2025-07-30T15:59:48.091246,20356,84754,60956269,3833214,3257,24055457,24055457,24348528745875,435038,141277,459751481,274980,3257,63,670810,1630,467183,15270
2025-07-30T15:59:53.221998,17529,85320,60956278,3918623,3243,24060185,24060185,24352301300955,431726,141303,459751543,275027,3243,63,630517,1630,467275,15589
2025-07-30T15:59:58.323137,18915,81604,60956289,3827691,2971,24064567,24064567,24355859238410,425863,141329,459751626,275075,2971,66,641512,1565,467394,15811
